wavelength,normalized_absorbance,drug_type
978.0,0.02649303996407719,heroin
982.0,0.02649303996407719,heroin
986.0,0.02649303996407719,heroin
990.0,0.02649303996407719,heroin
994.0,0.02649303996407719,heroin
998.0,0.02649303996407719,heroin
1002.0,0.02638078132016161,heroin
1006.0,0.02638078132016161,heroin
1010.0,0.02638078132016161,heroin
1014.0,0.02638078132016161,heroin
1018.0,0.02638078132016161,heroin
1022.0,0.02638078132016161,heroin
1026.0,0.02638078132016161,heroin
1030.0,0.02638078132016161,heroin
1034.0,0.02638078132016161,heroin
1038.0,0.02638078132016161,heroin
1042.0,0.02638078132016161,heroin
1046.0,0.02638078132016161,heroin
1050.0,0.02638078132016161,heroin
1054.0,0.02638078132016161,heroin
1058.0,0.02638078132016161,heroin
1062.0,0.02638078132016161,heroin
1066.0,0.02638078132016161,heroin
1070.0,0.02638078132016161,heroin
1074.0,0.02638078132016161,heroin
1078.0,0.02638078132016161,heroin
1082.0,0.02638078132016161,heroin
1086.0,0.02638078132016161,heroin
1090.0,0.02638078132016161,heroin
1094.0,0.02638078132016161,heroin
1098.0,0.02638078132016161,heroin
1102.0,0.02649303996407719,heroin
1106.0,0.026605298607992753,heroin
1110.0,0.02671755725190844,heroin
1114.0,0.02671755725190844,heroin
1118.0,0.02682981589582402,heroin
1122.0,0.026942074539739583,heroin
1126.0,0.027054333183655146,heroin
1130.0,0.027166591827570724,heroin
1134.0,0.027278850471486288,heroin
1138.0,0.027391109115401865,heroin
1142.0,0.02750336775931743,heroin
1146.0,0.02772788504714857,heroin
1150.0,0.027952402334979837,heroin
1154.0,0.027952402334979837,heroin
1158.0,0.0280646609788954,heroin
1162.0,0.028289178266726542,heroin
1166.0,0.028289178266726542,heroin
1170.0,0.028401436910642106,heroin
1174.0,0.02851369555455767,heroin
1178.0,0.02873821284238881,heroin
1182.0,0.02873821284238881,heroin
1186.0,0.028850471486304388,heroin
1190.0,0.02907498877413564,heroin
1194.0,0.02907498877413564,heroin
1198.0,0.02907498877413564,heroin
1202.0,0.02907498877413564,heroin
1206.0,0.02907498877413564,heroin
1210.0,0.02907498877413564,heroin
1214.0,0.02907498877413564,heroin
1218.0,0.028850471486304388,heroin
1222.0,0.02873821284238881,heroin
1226.0,0.02873821284238881,heroin
1230.0,0.02873821284238881,heroin
1234.0,0.02851369555455767,heroin
1238.0,0.028401436910642106,heroin
1242.0,0.028289178266726542,heroin
1246.0,0.028289178266726542,heroin
1250.0,0.0280646609788954,heroin
1254.0,0.027952402334979837,heroin
1258.0,0.027952402334979837,heroin
1262.0,0.02772788504714857,heroin
1266.0,0.027615626403232993,heroin
1270.0,0.02750336775931743,heroin
1274.0,0.027391109115401865,heroin
1278.0,0.027278850471486288,heroin
1282.0,0.027166591827570724,heroin
1286.0,0.027054333183655146,heroin
1290.0,0.026942074539739583,heroin
1294.0,0.02682981589582402,heroin
1298.0,0.02671755725190844,heroin
1302.0,0.026605298607992753,heroin
1306.0,0.02649303996407719,heroin
1310.0,0.02649303996407719,heroin
1314.0,0.026268522676246048,heroin
1318.0,0.02615626403233047,heroin
1322.0,0.026044005388414906,heroin
1326.0,0.025931746744499343,heroin
1330.0,0.025819488100583765,heroin
1334.0,0.0257072294566682,heroin
1338.0,0.025594970812752624,heroin
1342.0,0.025482712168836935,heroin
1346.0,0.02537045352492137,heroin
1350.0,0.025258194881005794,heroin
1354.0,0.02514593623709023,heroin
1358.0,0.025033677593174652,heroin
1362.0,0.02492141894925909,heroin
1366.0,0.024809160305343525,heroin
1370.0,0.024696901661427947,heroin
1374.0,0.024584643017512384,heroin
1378.0,0.02447238437359682,heroin
1382.0,0.024360125729681117,heroin
1386.0,0.024360125729681117,heroin
1390.0,0.024360125729681117,heroin
1394.0,0.024247867085765554,heroin
1398.0,0.024247867085765554,heroin
1402.0,0.024247867085765554,heroin
1406.0,0.024135608441849976,heroin
1410.0,0.024135608441849976,heroin
1414.0,0.024135608441849976,heroin
1418.0,0.024135608441849976,heroin
1422.0,0.024135608441849976,heroin
1426.0,0.024023349797934412,heroin
1430.0,0.024023349797934412,heroin
1434.0,0.024023349797934412,heroin
1438.0,0.024023349797934412,heroin
1442.0,0.024023349797934412,heroin
1446.0,0.024023349797934412,heroin
1450.0,0.02391109115401885,heroin
1454.0,0.02391109115401885,heroin
1458.0,0.02391109115401885,heroin
1462.0,0.02391109115401885,heroin
1466.0,0.02391109115401885,heroin
1470.0,0.02391109115401885,heroin
1474.0,0.02379883251010327,heroin
1478.0,0.02379883251010327,heroin
1482.0,0.02379883251010327,heroin
1486.0,0.023686573866187707,heroin
1490.0,0.023686573866187707,heroin
1494.0,0.02357431522227213,heroin
1498.0,0.02357431522227213,heroin
2594.0,0.06421194431971265,heroin
